miRNA_signature	Cancer_type	Expression	classification	score_details	Classification	Score_Details
(`hsa-miR-1287-3p` + `hsa-miR-1287-5p` + `hsa-miR-429`)	TGCT	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 1.51942273448835 ( Endothelial cell_XCELL(0.45332178479437), Macrophage M2_CIBERSORT(0.549592436269763), Cancer associated fibroblast_XCELL(0.516508513424217) ) Dualista: -0.509941853647961 ( Hematopoietic stem cell_XCELL(0.504000247956187), Class-switched memory B cell_XCELL(-0.53057510826948), T cell CD4+ Th2_XCELL(-0.483366993334668) )
(`hsa-miR-1287-3p` + `hsa-miR-362-5p` + `hsa-miR-509-3p` + `hsa-miR-509-3p` + `hsa-miR-509-3p`)	BRCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.2302241766288 ( T cell CD4+ memory activated_CIBERSORT(0.2302241766288) ) Pró-tumoral: -0.524383042101144 ( Cancer associated fibroblast_XCELL(-0.256356401505296), Endothelial cell_XCELL(-0.268026640595848) ) Dualista: -0.134833143587477 ( Hematopoietic stem cell_XCELL(-0.3019311216019), Mast cell activated_CIBERSORT(-0.259688281597293), T cell CD4+ Th2_XCELL(0.426786259611716) )
(`hsa-miR-1287-5p` + `hsa-miR-326`)	KICH	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-129-5p` + `hsa-miR-133a-3p` + `hsa-miR-133b` + `hsa-miR-654-5p`)	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.359450378320791 ( Endothelial cell_XCELL(0.359450378320791) ) Dualista: -0.542107372609714 ( Hematopoietic stem cell_XCELL(0.542107372609714) )
(`hsa-miR-1301-3p` + `hsa-miR-148b-3p` + `hsa-miR-148b-5p` + `hsa-miR-183-5p` + `hsa-miR-20a-3p` + `hsa-miR-20a-5p` + `hsa-miR-301a-3p` + `hsa-miR-301a-5p` + `hsa-miR-335-3p` + `hsa-miR-33a-5p` + `hsa-miR-33b-5p` + `hsa-miR-454-3p` + `hsa-miR-9-3p` + `hsa-miR-9-5p` + `hsa-miR-9-3p` + `hsa-miR-9-5p` + `hsa-miR-96-5p`)	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.207463851935135 ( Granulocyte-monocyte progenitor_XCELL(-0.35914646151553), T cell CD4+ Th1_XCELL(0.316290970014669), Common lymphoid progenitor_XCELL(0.250319343435996) ) Pró-tumoral: -0.592030940884038 ( Endothelial cell_XCELL(-0.282558040172048), Cancer associated fibroblast_XCELL(-0.30947290071199) ) Dualista: -0.600215777354674 ( T cell CD4+ memory resting_CIBERSORT(-0.257867994981923), T cell CD4+ Th2_XCELL(0.386069260763109), Mast cell activated_CIBERSORT(-0.333222769083259), Hematopoietic stem cell_XCELL(-0.395194274052601) )
(`hsa-miR-1301-3p` + `hsa-miR-301a-3p`)	UCEC	Overexpression			NS	No data
(`hsa-miR-1301-3p` + `hsa-miR-335-5p`)	ESCA	Overexpression			NS	No data
(`hsa-miR-1306-5p` + `hsa-miR-1307-5p` + `hsa-miR-1307-3p` + `hsa-miR-130b-3p` + `hsa-miR-130b-5p` + `hsa-miR-135b-5p` + `hsa-miR-15b-3p` + `hsa-miR-191-5p` + `hsa-miR-191-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-19b-3p` + `hsa-miR-19b-3p` + `hsa-miR-203b-3p` + `hsa-miR-215-5p` + `hsa-miR-215-3p` + `hsa-miR-219a-5p` + `hsa-miR-219a-5p` + `hsa-miR-32-5p` + `hsa-miR-32-3p` + `hsa-miR-330-5p` + `hsa-miR-331-3p` + `hsa-miR-331-5p` + `hsa-miR-339-3p` + `hsa-miR-345-5p` + `hsa-miR-3613-5p` + `hsa-miR-3614-5p` + `hsa-miR-421` + `hsa-miR-450b-5p` + `hsa-miR-4677-3p` + `hsa-miR-484` + `hsa-miR-502-5p` + `hsa-miR-503-5p` + `hsa-miR-503-5p` + `hsa-miR-577` + `hsa-miR-584-3p` + `hsa-miR-589-3p` + `hsa-miR-589-5p` + `hsa-miR-615-3p` + `hsa-miR-629-3p` + `hsa-miR-671-5p` + `hsa-miR-744-3p` + `hsa-miR-877-5p` + `hsa-miR-92a-1-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-935` + `hsa-miR-940`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.529168439959853 ( T cell CD4+ Th1_XCELL(0.514082243923589), Common lymphoid progenitor_XCELL(0.31226350828047), Granulocyte-monocyte progenitor_XCELL(-0.297177312244206) ) Pró-tumoral: -1.0035795704203 ( Cancer associated fibroblast_XCELL(-0.633639487589399), Endothelial cell_XCELL(-0.369940082830906) ) Dualista: -1.0252019340027 ( T cell CD4+ Th2_XCELL(0.333001778099399), Mast cell activated_CIBERSORT(-0.486393745361633), B cell memory_CIBERSORT(-0.278015714513102), Hematopoietic stem cell_XCELL(-0.593794252227362) )
(`hsa-miR-1306-5p` + `hsa-miR-135b-5p` + `hsa-miR-19b-3p` + `hsa-miR-19b-3p` + `hsa-miR-219a-1-3p` + `hsa-miR-339-5p` + `hsa-miR-502-3p` + `hsa-miR-519a-5p` + `hsa-miR-532-5p` + `hsa-miR-671-3p` + `hsa-miR-744-3p` + `hsa-miR-744-5p` + `hsa-miR-92a-1-5p` + `hsa-miR-942-5p`)	BRCA	Unchanged	Variável	Macrophage M1_CIBERSORT, 0.18744997241071, 1, Variable	anti-tumoral	Anti-tumoral: 0.924612334510218 ( Myeloid dendritic cell activated_CIBERSORT(0.176019539852343), T cell CD4+ Th1_XCELL(0.243499053007675), T cell CD4+ memory activated_CIBERSORT(0.31764376923949), Macrophage M1_CIBERSORT(0.18744997241071) ) Pró-tumoral: -0.676611341357596 ( Cancer associated fibroblast_XCELL(-0.366409895573371), Endothelial cell_XCELL(-0.310201445784225) ) Dualista: 0.069556021665009 ( T cell follicular helper_CIBERSORT(0.182031970445787), Mast cell activated_CIBERSORT(-0.463273927818684), Macrophage M0_CIBERSORT(0.17598131931404), T cell CD4+ Th2_XCELL(0.571056772723845), Hematopoietic stem cell_XCELL(-0.396240112999979) )
(`hsa-miR-1306-5p` + `hsa-miR-219a-1-3p` + `hsa-miR-744-3p` + `hsa-miR-940`)	BLCA	Overexpression	Variável	Macrophage M1_CIBERSORT, -0.284288597527769, 1, Variable	dualista	Anti-tumoral: -0.584801121524139 ( Granulocyte-monocyte progenitor_XCELL(-0.30051252399637), Macrophage M1_CIBERSORT(-0.284288597527769) ) Pró-tumoral: -0.481681831588215 ( Cancer associated fibroblast_XCELL(-0.481681831588215) ) Dualista: -0.345073554301763 ( Hematopoietic stem cell_XCELL(-0.345073554301763) )
(`hsa-miR-1306-5p` + `hsa-miR-744-3p`)	BRCA	Unchanged	Variável	T cell CD8+_CIBERSORT, -0.173630749352529, 3, Variable	anti-tumoral	Anti-tumoral: 0.278328376910031 ( T cell CD8+_CIBERSORT(-0.173630749352529), Common lymphoid progenitor_XCELL(0.240013890600414), T cell CD4+ memory activated_CIBERSORT(0.211945235662146) ) Pró-tumoral: -0.715306997360422 ( Cancer associated fibroblast_XCELL(-0.385392494829732), Endothelial cell_XCELL(-0.32991450253069) ) Dualista: -0.274637524215724 ( T cell CD4+ Th2_XCELL(0.445422356430467), Mast cell activated_CIBERSORT(-0.328537671838297), Hematopoietic stem cell_XCELL(-0.391522208807894) )
(`hsa-miR-1307-3p` + `hsa-miR-1307-5p` + `hsa-miR-130b-3p` + `hsa-miR-130b-5p` + `hsa-miR-15b-3p` + `hsa-miR-15b-5p` + `hsa-miR-191-5p` + `hsa-miR-19b-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-19b-3p` + `hsa-miR-219a-5p` + `hsa-miR-219a-5p` + `hsa-miR-32-3p` + `hsa-miR-339-5p` + `hsa-miR-345-5p` + `hsa-miR-484` + `hsa-miR-500a-3p` + `hsa-miR-629-3p` + `hsa-miR-629-5p` + `hsa-miR-877-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-940` + `hsa-miR-942-3p` + `hsa-miR-942-5p` + `hsa-miR-944`)	HNSC	Overexpression	Variável	Macrophage M2_CIBERSORT, -0.311759253280363, 1, Variable	anti-tumoral	Anti-tumoral: 0.33628406398221 ( Common lymphoid progenitor_XCELL(0.33628406398221) ) Pró-tumoral: -0.855380167995099 ( Cancer associated fibroblast_XCELL(-0.241929700912944), Endothelial cell_XCELL(-0.301691213801792), Macrophage M2_CIBERSORT(-0.311759253280363) ) Dualista: 0.040367429122782 ( T cell follicular helper_CIBERSORT(0.239006819273127), Mast cell activated_CIBERSORT(-0.248397603721882), T cell CD4+ Th2_XCELL(0.348650616607192), Hematopoietic stem cell_XCELL(-0.298892403035655) )
(`hsa-miR-1307-3p` + `hsa-miR-1307-5p` + `hsa-miR-130b-3p` + `hsa-miR-15b-5p` + `hsa-miR-19b-1-5p` + `hsa-miR-203b-3p` + `hsa-miR-3613-5p` + `hsa-miR-4677-3p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-942-3p`)	CESC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.318043460815142 ( T cell CD4+ Th1_XCELL(0.318043460815142) ) Pró-tumoral: -0.328433922490888 ( Cancer associated fibroblast_XCELL(-0.328433922490888) ) Dualista: -0.033311113406478 ( Hematopoietic stem cell_XCELL(-0.348349811542805), T cell CD4+ Th2_XCELL(0.315038698136327) )
(`hsa-miR-1307-3p` + `hsa-miR-1307-5p` + `hsa-miR-130b-5p` + `hsa-miR-130b-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-19b-3p` + `hsa-miR-19b-3p` + `hsa-miR-345-5p` + `hsa-miR-4677-3p` + `hsa-miR-629-3p` + `hsa-miR-629-5p` + `hsa-miR-671-5p` + `hsa-miR-744-3p` + `hsa-miR-9-5p`)	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.032235837225376 ( T cell CD4+ Th1_XCELL(0.362854450911631), Granulocyte-monocyte progenitor_XCELL(-0.395090288137007) ) Pró-tumoral: -0.5968422644729 ( Endothelial cell_XCELL(-0.243407384377178), Cancer associated fibroblast_XCELL(-0.353434880095722) ) Dualista: -0.536379484827719 ( Hematopoietic stem cell_XCELL(-0.457926057530279), T cell CD4+ Th2_XCELL(0.414864771592022), T cell CD4+ memory resting_CIBERSORT(-0.33711914733257), T cell follicular helper_CIBERSORT(0.245586385552911), Mast cell activated_CIBERSORT(-0.401785437109803) )
(`hsa-miR-1307-3p` + `hsa-miR-191-5p` + `hsa-miR-194-5p` + `hsa-miR-194-5p` + `hsa-miR-4677-3p` + `hsa-miR-484` + `hsa-miR-615-3p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: -0.00660178723709504 ( T cell CD4+ Th1_XCELL(0.253671127634105), Common lymphoid progenitor_XCELL(-0.2602729148712) ) Pró-tumoral: -0.251517476421609 ( Cancer associated fibroblast_XCELL(-0.251517476421609) ) Dualista: -0.323108772400388 ( Hematopoietic stem cell_XCELL(-0.307224732110533), B cell plasma_CIBERSORT(-0.263757997975337), Class-switched memory B cell_XCELL(0.247873957685482) )
(`hsa-miR-1307-3p` + `hsa-miR-330-5p`)	THYM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.536066615849802 ( T cell CD4+ Th2_XCELL(0.536066615849802) )
(`hsa-miR-1307-3p` + `hsa-miR-340-5p` + `hsa-miR-615-3p`)	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.53062764580413 ( T cell CD4+ memory activated_CIBERSORT(0.217735316323857), T cell CD4+ Th1_XCELL(0.312892329480273) ) Pró-tumoral: -0.537076480807844 ( Endothelial cell_XCELL(-0.302527154456596), Cancer associated fibroblast_XCELL(-0.234549326351248) ) Dualista: -0.0762652471874761 ( T cell CD4+ Th2_XCELL(0.428122287301927), Macrophage M0_CIBERSORT(0.173922673134686), Hematopoietic stem cell_XCELL(-0.329509613095072), Mast cell activated_CIBERSORT(-0.348800594529017) )
(`hsa-miR-1307-3p` + `hsa-miR-92a-1-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p`)	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: -0.343742186436827 ( T cell CD4+ Th1_XCELL(0.343742186436827) ) Pró-tumoral: 0.405155912616849 ( Endothelial cell_XCELL(-0.405155912616849) ) Dualista: 0.390581570336949 ( Hematopoietic stem cell_XCELL(-0.390581570336949) )
(`hsa-miR-1307-5p` + `hsa-miR-1307-3p` + `hsa-miR-15b-5p` + `hsa-miR-18b-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-330-5p` + `hsa-miR-3940-3p` + `hsa-miR-4677-3p` + `hsa-miR-589-3p` + `hsa-miR-589-5p` + `hsa-miR-877-5p` + `hsa-miR-92a-1-5p` + `hsa-miR-942-3p` + `hsa-miR-942-5p`)	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0.204299513721869 ( T cell CD4+ Th2_XCELL(0.488915046396077), Hematopoietic stem cell_XCELL(-0.284615532674208) )
(`hsa-miR-1307-5p` + `hsa-miR-130b-5p` + `hsa-miR-339-3p` + `hsa-miR-532-3p` + `hsa-miR-532-5p`)	ESCA	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.439237907250293 ( Cancer associated fibroblast_XCELL(-0.439237907250293) ) Dualista: 0 (  )
(`hsa-miR-1307-5p` + `hsa-miR-130b-5p` + `hsa-miR-345-5p`)	BRCA	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.515832561807907 ( T cell CD4+ memory activated_CIBERSORT(0.258338327950049), T cell CD4+ Th1_XCELL(0.257494233857858) ) Pró-tumoral: -0.849482576940461 ( Cancer associated fibroblast_XCELL(-0.455010562818331), Endothelial cell_XCELL(-0.39447201412213) ) Dualista: -0.171054503350033 ( Macrophage M0_CIBERSORT(0.217735808210715), Mast cell activated_CIBERSORT(-0.427763882267209), Hematopoietic stem cell_XCELL(-0.496010689376124), T cell CD4+ Th2_XCELL(0.534984260082585) )
(`hsa-miR-1307-5p` + `hsa-miR-15b-3p` + `hsa-miR-331-5p` + `hsa-miR-744-3p` + `hsa-miR-940`)	UCEC	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-130a-3p` + `hsa-let-7b-5p`)	KIRP	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -0.37403446501926 ( Cancer associated fibroblast_XCELL(0.37403446501926) ) Dualista: 0 (  )
(`hsa-miR-130a-3p` + `hsa-miR-24-1-5p`)	PRAD	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.689061099889733 ( Endothelial cell_XCELL(0.244642104257901), Cancer associated fibroblast_XCELL(0.444418995631832) ) Dualista: 0.405208793798764 ( Hematopoietic stem cell_XCELL(0.405208793798764) )
(`hsa-miR-130a-5p` + `hsa-miR-378a-3p` + `hsa-miR-378a-5p`)	TGCT	Unchanged	Frio	Macrophage M2_CIBERSORT, -0.457676852885101, 1, Cold	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: -1.56404308638344 ( Endothelial cell_XCELL(-0.531096001606263), Cancer associated fibroblast_XCELL(-0.575270231892072), Macrophage M2_CIBERSORT(-0.457676852885101) ) Dualista: 0.117366098092591 ( Hematopoietic stem cell_XCELL(-0.43591279298558), T cell CD4+ Th2_XCELL(0.553278891078171) )
(`hsa-miR-130b-3p` + `hsa-miR-130b-5p`)	LUAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.7563885237285 ( T cell CD4+ Th1_XCELL(0.37819426186425), T cell CD4+ Th1_XCELL(0.37819426186425) ) Pró-tumoral: -0.524060190519624 ( Cancer associated fibroblast_XCELL(-0.262030095259812), Cancer associated fibroblast_XCELL(-0.262030095259812) ) Dualista: -1.26033331079178 ( T cell CD4+ Th2_XCELL(0.376415162651625), Hematopoietic stem cell_XCELL(-0.409697881697714), Mast cell activated_CIBERSORT(-0.30544424120993), T cell CD4+ memory resting_CIBERSORT(-0.291439695139869), T cell CD4+ Th2_XCELL(0.376415162651625), Hematopoietic stem cell_XCELL(-0.409697881697714), Mast cell activated_CIBERSORT(-0.30544424120993), T cell CD4+ memory resting_CIBERSORT(-0.291439695139869) )
(`hsa-miR-130b-3p` + `hsa-miR-19b-3p` + `hsa-miR-19b-3p` + `hsa-miR-500a-3p`)	PRAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0.00456735280397097 ( Common lymphoid progenitor_XCELL(-0.431831409077432), T cell CD4+ Th1_XCELL(0.436398761881403) ) Pró-tumoral: 0 (  ) Dualista: 0.011920558445058 ( T cell follicular helper_CIBERSORT(0.259843722107198), T cell CD4+ memory resting_CIBERSORT(-0.24792316366214) )
(`hsa-miR-130b-3p` + `hsa-miR-219a-1-3p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p`)	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: -0.304758347472629 ( Class-switched memory B cell_XCELL(-0.304758347472629) )
(`hsa-miR-130b-5p` + `hsa-miR-500a-3p`)	COAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0.362100486248104 ( Endothelial cell_XCELL(-0.362100486248104) ) Dualista: 0.3992716071442 ( Hematopoietic stem cell_XCELL(-0.3992716071442) )
(`hsa-miR-132-5p` + `hsa-miR-27a-3p` + `hsa-miR-27a-5p`)	KICH	Underexpression			NS	No data
(`hsa-miR-133a-3p` + `hsa-miR-133a-5p` + `hsa-miR-133b`)	ESCA	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.407135726991534 ( Cancer associated fibroblast_XCELL(0.407135726991534) ) Dualista: -0.879585018159385 ( Hematopoietic stem cell_XCELL(0.397556876329552), Mast cell activated_CIBERSORT(0.482028141829833) )
(`hsa-miR-133a-3p` + `hsa-miR-133a-5p`)	HNSC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-133a-3p` + `hsa-miR-133b` + `hsa-miR-143-3p` + `hsa-miR-143-5p` + `hsa-miR-153-3p` + `hsa-miR-153-3p` + `hsa-miR-153-5p` + `hsa-miR-29c-5p` + `hsa-miR-542-3p` + `hsa-miR-542-5p` + `hsa-let-7c-3p` + `hsa-let-7c-5p`)	LIHC	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.300518684114909 ( T cell CD4+ Th1_XCELL(-0.300518684114909) ) Pró-tumoral: -1.02223133571405 ( Cancer associated fibroblast_XCELL(0.547107699879033), Endothelial cell_XCELL(0.475123635835021) ) Dualista: -0.558895959582686 ( Hematopoietic stem cell_XCELL(0.558895959582686) )
(`hsa-miR-133a-3p` + `hsa-miR-133b`)	KICH	Underexpression			NS	No data
(`hsa-miR-133a-3p` + `hsa-miR-133b`)	PRAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.440703494273523 ( Cancer associated fibroblast_XCELL(0.440703494273523) ) Dualista: -0.00279662685674298 ( Class-switched memory B cell_XCELL(-0.265303915483636), Hematopoietic stem cell_XCELL(0.311610797138344), T cell CD4+ Th2_XCELL(-0.399732545706136), B cell plasma_CIBERSORT(0.356222290908171) )
(`hsa-miR-133a-3p` + `hsa-miR-143-3p` + `hsa-miR-224-5p` + `hsa-miR-24-2-5p` + `hsa-miR-452-3p` + `hsa-miR-452-5p`)	PCPG	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.809594255752687 ( Endothelial cell_XCELL(0.809594255752687) ) Dualista: 0.119215211289754 ( Class-switched memory B cell_XCELL(-0.492487400782436), Hematopoietic stem cell_XCELL(0.61170261207219) )
(`hsa-miR-133a-3p` + `hsa-miR-199a-3p` + `hsa-miR-377-5p` + `hsa-miR-382-5p` + `hsa-miR-409-3p` + `hsa-miR-493-5p` + `hsa-miR-654-5p`)	OV	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.407685712960023 ( Cancer associated fibroblast_XCELL(0.407685712960023) ) Dualista: 0.324921060341127 ( Hematopoietic stem cell_XCELL(0.324921060341127) )
(`hsa-miR-133a-5p` + `hsa-miR-133a-3p` + `hsa-miR-133b`)	STAD	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.670845777611559 ( T cell CD4+ Th1_XCELL(-0.348263197311139), Common lymphoid progenitor_XCELL(-0.32258258030042) ) Pró-tumoral: -0.833771978336821 ( Cancer associated fibroblast_XCELL(0.549002022184552), Endothelial cell_XCELL(0.284769956152269) ) Dualista: -1.25149929071242 ( Mast cell activated_CIBERSORT(0.450804586671894), B cell memory_CIBERSORT(0.266146531199546), Hematopoietic stem cell_XCELL(0.534548172840978) )
(`hsa-miR-134-3p` + `hsa-miR-136-3p` + `hsa-miR-136-5p` + `hsa-miR-154-5p` + `hsa-miR-199b-3p` + `hsa-miR-199b-5p` + `hsa-miR-337-3p` + `hsa-miR-369-5p` + `hsa-miR-376c-3p` + `hsa-miR-432-5p` + `hsa-miR-496` + `hsa-miR-758-3p`)	SKCM	Unchanged	NS	character(0), numeric(0), numeric(0), character(0)	pró-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: 0.400780488073466 ( Endothelial cell_XCELL(0.400780488073466) ) Dualista: 0.07256629868534 ( Hematopoietic stem cell_XCELL(0.326909533884277), Class-switched memory B cell_XCELL(-0.254343235198937) )
(`hsa-miR-134-5p` + `hsa-miR-136-3p` + `hsa-miR-136-5p` + `hsa-miR-154-5p` + `hsa-miR-199b-3p` + `hsa-miR-199b-5p` + `hsa-miR-337-3p` + `hsa-miR-369-5p` + `hsa-miR-376c-3p` + `hsa-miR-379-5p` + `hsa-miR-381-3p` + `hsa-miR-758-3p` + `hsa-miR-758-5p`)	KICH	Underexpression	NS	character(0), numeric(0), numeric(0), character(0)	dualista	Anti-tumoral: 0 (  ) Pró-tumoral: 0 (  ) Dualista: 0 (  )
(`hsa-miR-134-5p` + `hsa-miR-136-3p` + `hsa-miR-299-5p` + `hsa-miR-337-3p` + `hsa-miR-369-5p` + `hsa-miR-376c-3p` + `hsa-miR-379-5p` + `hsa-miR-381-3p` + `hsa-miR-487a-5p` + `hsa-miR-758-3p` + `hsa-miR-758-5p`)	HNSC	Underexpression	Quente	"c(""""T cell CD8+_CIBERSORT"""", """"Macrophage M2_CIBERSORT""""), c(-0.312992321446562, 0.346212064118115), c(3, 1), c(""""Hot"""", """"Cold"""")"	anti-tumoral	Anti-tumoral: 0.312992321446562 ( T cell CD8+_CIBERSORT(-0.312992321446562) ) Pró-tumoral: -1.006812835046 ( Cancer associated fibroblast_XCELL(0.32438647397177), Endothelial cell_XCELL(0.336214296956117), Macrophage M2_CIBERSORT(0.346212064118115) ) Dualista: 0.092224065995991 ( Class-switched memory B cell_XCELL(-0.334342828930507), Hematopoietic stem cell_XCELL(0.301217315682244), Macrophage M0_CIBERSORT(0.264045669393967), T cell follicular helper_CIBERSORT(-0.323144222141695) )
(`hsa-miR-135b-3p` + `hsa-miR-135b-5p`)	HNSC	Overexpression	Variável	Macrophage M2_CIBERSORT, -0.344012193021933, 1, Variable	anti-tumoral	Anti-tumoral: 0 (  ) Pró-tumoral: -0.984956361677993 ( Endothelial cell_XCELL(-0.316910277402921), Cancer associated fibroblast_XCELL(-0.324033891253139), Macrophage M2_CIBERSORT(-0.344012193021933) ) Dualista: -0.356216485362404 ( Hematopoietic stem cell_XCELL(-0.356216485362404) )
(`hsa-miR-135b-3p` + `hsa-miR-194-3p`)	STAD	Overexpression	NS	character(0), numeric(0), numeric(0), character(0)	anti-tumoral	Anti-tumoral: 0.555631291590101 ( T cell CD4+ Th1_XCELL(0.279032574808136), Common lymphoid progenitor_XCELL(0.276598716781965) ) Pró-tumoral: -0.987812466342526 ( Endothelial cell_XCELL(-0.35371038077979), Cancer associated fibroblast_XCELL(-0.634102085562736) ) Dualista: -0.813662931208181 ( Hematopoietic stem cell_XCELL(-0.498747501415344), Mast cell activated_CIBERSORT(-0.314915429792837) )
(`hsa-miR-135b-3p` + `hsa-miR-19b-1-5p` + `hsa-miR-219a-2-3p` + `hsa-miR-302d-5p` + `hsa-miR-302d-3p` + `hsa-miR-3614-5p` + `hsa-miR-365a-5p` + `hsa-miR-367-3p` + `hsa-miR-374a-3p` + `hsa-miR-374b-3p` + `hsa-miR-3940-3p` + `hsa-miR-512-3p` + `hsa-miR-512-5p` + `hsa-miR-515-3p` + `hsa-miR-515-5p` + `hsa-miR-515-5p` + `hsa-miR-515-3p` + `hsa-miR-516b-5p` + `hsa-miR-517-5p` + `hsa-miR-517a-3p` + `hsa-miR-518b` + `hsa-miR-518c-3p` + `hsa-miR-518c-5p` + `hsa-miR-519a-3p` + `hsa-miR-519a-5p` + `hsa-miR-519b-3p` + `hsa-miR-519c-3p` + `hsa-miR-520f-3p` + `hsa-miR-520f-5p` + `hsa-miR-520h` + `hsa-miR-522-3p` + `hsa-miR-625-3p` + `hsa-miR-625-5p` + `hsa-miR-629-3p` + `hsa-miR-629-5p` + `hsa-miR-92a-1-5p` + `hsa-miR-92a-3p` + `hsa-miR-92a-3p` + `hsa-miR-942-3p` + `hsa-miR-942-5p`)	TGCT	Unchanged	Quente	NK cell activated_CIBERSORT, 0.459997420015167, 3, Hot	anti-tumoral	Anti-tumoral: 0.976172014415155 ( NK cell activated_CIBERSORT(0.459997420015167), Common lymphoid progenitor_XCELL(0.516174594399988) ) Pró-tumoral: 0 (  ) Dualista: 0.537296403739959 ( T cell follicular helper_CIBERSORT(0.507582458820849), T cell CD4+ memory resting_CIBERSORT(-0.434555016253876), T cell CD4+ Th2_XCELL(0.464268961172986) )
